station,longitude,QoS,latitude,revision,continent,city
Nyangao,39.28333,acceptable,-10.33333,2018-12-13,Africa,Dar_es_Salaam
Portogruaro,12.84052,acceptable,45.78071,2015-10-03,Europe,Rome
Mitry-Mory,2.61667,good,48.98333,2021-03-27,Europe,Paris
Jackson,-88.81395,excellent,35.61452,2022-05-03,America,Chicago
Middletown,-71.29144,excellent,41.54566,2020-10-20,America,New_York
Maryborough,152.70493,good,-25.54073,2019-08-17,Australia,Brisbane
Sojat,73.66633,excellent,25.92493,2021-05-09,Asia,Kolkata
Mexborough,-1.29243,good,53.49389,2016-05-01,Europe,London
Valday,33.2525,excellent,57.97472,2024-06-15,Europe,Moscow
Acaponeta,-105.36369,excellent,22.49396,2024-03-09,America,Mazatlan
Barbil,85.37752,good,22.10194,2022-02-11,Asia,Kolkata
Rutland,-72.97261,acceptable,43.61062,2019-01-07,America,New_York
Schererville,-87.45476,acceptable,41.47892,2021-10-06,America,Chicago
Lompoc,-120.45794,excellent,34.63915,2018-11-10,America,Los_Angeles
Carnot,15.87735,acceptable,4.94273,2020-11-06,Africa,Bangui
Usagara,33.0,good,-2.68333,2022-12-07,Africa,Dar_es_Salaam
Rixensart,4.52529,good,50.71229,2016-06-21,Europe,Brussels
Pujali,88.1453,maintenance,22.4711,2020-09-17,Asia,Kolkata
Ikalamavony,46.58333,excellent,-21.15,2021-01-30,Indian,Antananarivo
Keizer,-123.02621,good,44.99012,2019-08-13,America,Los_Angeles
Palestine,-95.63079,acceptable,31.76212,2023-12-08,America,Chicago
Gajendragarh,75.96976,acceptable,15.73628,2018-07-29,Asia,Kolkata
Calangute,73.7553,good,15.5439,2025-09-14,Asia,Kolkata
Ventimiglia,7.60872,excellent,43.78956,2023-08-22,Europe,Rome
Kidodi,37.00438,good,-7.60361,2025-07-30,Africa,Dar_es_Salaam
Rio Real,-37.93278,good,-11.48472,2022-01-08,America,Bahia
Rosedale,-76.51552,good,39.32011,2023-12-24,America,New_York
Estelle,-90.10674,acceptable,29.84576,2019-01-05,America,Chicago
Vestavia Hills,-86.78777,good,33.44872,2022-03-27,America,Chicago
Siegburg,7.20769,good,50.80019,2018-10-23,Europe,Berlin
Kati,-8.07257,excellent,12.74409,2025-01-21,Africa,Bamako
Antanifotsy,47.31667,excellent,-19.65,2025-03-25,Indian,Antananarivo
Biu,12.19458,excellent,10.61285,2017-04-19,Africa,Lagos
Mira Mesa,-117.14392,maintenance,32.9156,2025-06-16,America,Los_Angeles
Keizer,-123.02621,good,44.99012,2022-08-19,America,Los_Angeles
Toledo,-83.55521,acceptable,41.66394,2016-10-11,America,New_York
Parkent,69.67639,good,41.29444,2016-08-04,Asia,Tashkent
Aguadilla,-67.15407,acceptable,18.42745,2019-12-31,America,Puerto_Rico
Caldas Novas,-48.62789,excellent,-17.74431,2015-12-17,America,Sao_Paulo
Saint-Omer,2.25,acceptable,50.75,2022-02-10,Europe,Paris
Poulton-le-Fylde,-2.98333,good,53.83333,2022-09-12,Europe,London
Martinsburg,-77.96389,good,39.45621,2017-08-01,America,New_York
Parkent,69.67639,good,41.29444,2023-04-05,Asia,Tashkent
Pilkhua,77.656,good,28.71271,2021-05-12,Asia,Kolkata
Ventimiglia,7.60872,acceptable,43.78956,2024-12-14,Europe,Rome
Jingzhou,112.19028,good,30.35028,2025-02-12,Asia,Shanghai
Ilesa,4.74161,good,7.62789,2023-07-19,Africa,Lagos
Schwalmtal,6.26667,acceptable,51.21667,2024-07-26,Europe,Berlin
Qadirpur Ran,71.67164,acceptable,30.29184,2018-08-11,Asia,Karachi
Thetford,0.75,excellent,52.41667,2024-11-04,Europe,London
Sainte-Catherine,-73.58248,good,45.40008,2016-02-22,America,Toronto
Ina,137.95378,good,35.82756,2025-07-11,Asia,Tokyo
Barra dos Coqueiros,-37.03861,good,-10.90889,2024-08-26,America,Maceio
Mexborough,-1.29243,excellent,53.49389,2024-01-20,Europe,London
Kyaikto,97.01124,good,17.30858,2022-02-24,Asia,Yangon
Perth,115.8614,acceptable,-31.95224,2025-07-27,Australia,Perth
Kensington,-73.97069,maintenance,40.64621,2016-02-02,America,New_York
Lakota,-5.682,good,5.84752,2025-01-19,Africa,Abidjan
Collinwood,-81.56929,acceptable,41.55838,2023-04-06,America,New_York
Budva,18.84,maintenance,42.28639,2025-07-09,Europe,Podgorica
Troutdale,-122.38731,good,45.53929,2021-02-08,America,Los_Angeles
Tiruppuvanam,78.25795,excellent,9.82564,2019-12-20,Asia,Kolkata
Paoy Paet,102.56365,good,13.65805,2023-10-03,Asia,Phnom_Penh
La Trinidad,120.5875,good,16.455,2021-07-11,Asia,Manila
Novopavlovsk,43.63417,good,43.96222,2018-05-09,Europe,Moscow
Lons-le-Saunier,5.55575,maintenance,46.67535,2023-12-02,Europe,Paris
Split,16.43915,excellent,43.50891,2022-11-28,Europe,Zagreb
Mirriah,9.15013,excellent,13.70727,2023-01-21,Africa,Niamey
Honda,-74.73584,excellent,5.20856,2024-02-24,America,Bogota
Beidao,105.89333,good,34.56861,2018-07-14,Asia,Shanghai
Kashira,38.16694,excellent,54.84444,2025-09-18,Europe,Moscow
Watsonville,-121.75689,good,36.91023,2023-10-02,America,Los_Angeles
Les Olives,5.4584,good,43.32393,2021-04-18,Europe,Paris
Tarkwa,-1.98956,good,5.30383,2024-05-29,Africa,Accra
Saint-Denis,55.4504,good,-20.88231,2017-03-13,Indian,Reunion
Keizer,-123.02621,good,44.99012,2021-03-06,America,Los_Angeles
Narwar,77.9129,good,25.6439,2024-01-06,Asia,Kolkata
Nizhniy Lomov,43.67663,good,53.53041,2019-07-04,Europe,Moscow
Cebu City,123.89071,maintenance,10.31672,2022-10-20,Asia,Manila
Hlukhiv,33.9162,excellent,51.67822,2019-12-15,Europe,Kyiv
Dumont,-73.99681,good,40.94065,2024-08-10,America,New_York
Aguilares,-65.61427,good,-27.4338,2021-07-02,America/Argentina,Tucuman
San Giuliano Milanese,9.29109,good,45.39402,2021-03-16,Europe,Rome
Markham,-79.2663,acceptable,43.86682,2025-07-28,America,Toronto
Onex,6.10237,good,46.18396,2023-09-14,Europe,Zurich
Espoo,24.6522,acceptable,60.2052,2018-10-06,Europe,Helsinki
New Yekepa,-8.53778,excellent,7.57944,2025-08-18,Africa,Monrovia
Somoto,-86.58208,excellent,13.48082,2018-11-30,America,Managua
Danilov,40.17171,good,58.1908,2016-10-27,Europe,Moscow
Silvan,41.00817,acceptable,38.13708,2021-06-16,Europe,Istanbul
Mvomero,38.66667,good,-6.25,2022-04-18,Africa,Dar_es_Salaam
Honda,-74.73584,acceptable,5.20856,2021-09-17,America,Bogota
Amreli,71.21169,acceptable,21.59983,2021-09-18,Asia,Kolkata
Okahandja,16.91667,excellent,-21.98333,2024-02-20,Africa,Windhoek
Canton,-83.48216,maintenance,42.30865,2019-04-07,America,Detroit
Neuburg an der Donau,11.18709,excellent,48.73218,2023-07-10,Europe,Berlin
Southsea,-1.08593,good,50.79205,2025-05-16,Europe,London
Glogovac,20.89389,good,42.62833,2016-01-10,Europe,Belgrade
Alfenas,-45.94722,excellent,-21.42917,2021-12-28,America,Sao_Paulo
Sungurlu,34.37389,acceptable,40.1675,2021-04-22,Europe,Istanbul
Arua,30.91105,good,3.02013,2018-11-13,Africa,Kampala
Barras,-42.29444,acceptable,-4.24444,2022-11-18,America,Fortaleza
Schleswig,9.5586,excellent,54.52156,2019-04-22,Europe,Berlin
Vryheid,30.79165,excellent,-27.76952,2016-09-26,Africa,Johannesburg
Socorro,-73.26022,good,6.46838,2024-07-17,America,Bogota
Astara,48.87498,good,38.45598,2016-04-12,Asia,Baku
Woodlawn,-76.72803,good,39.32288,2021-09-22,America,New_York
Tonga,10.7,excellent,4.96667,2021-11-06,Africa,Douala
Vitebsk,30.2049,good,55.1904,2024-01-04,Europe,Minsk
Arba Minch,37.55,good,6.03333,2022-06-06,Africa,Addis_Ababa
Ishim,69.49015,acceptable,56.11281,2016-02-27,Asia,Yekaterinburg
Lesnoy,59.80222,good,58.63667,2022-09-15,Asia,Yekaterinburg
Karlovy Vary,12.87117,good,50.23271,2021-09-06,Europe,Prague
Tyoply Stan,37.49338,good,55.62047,2025-03-22,Europe,Moscow
Brunswick,-69.96533,acceptable,43.91452,2024-03-04,America,New_York
Losser,7.00417,excellent,52.26083,2021-12-09,Europe,Amsterdam
Chosica,-76.70944,good,-11.94306,2017-07-26,America,Lima
Kuvandyk,57.3552,good,51.4781,2025-09-20,Asia,Yekaterinburg
Siegburg,7.20769,good,50.80019,2024-12-10,Europe,Berlin
Beni Khiar,10.78222,good,36.46917,2024-01-26,Africa,Tunis
Inawashiro,140.11667,good,37.56667,2016-12-28,Asia,Tokyo
West Chester,-75.60804,good,39.96097,2024-05-19,America,New_York
Rafiganj,84.63445,maintenance,24.81757,2022-12-24,Asia,Kolkata
Lino Lakes,-93.08883,good,45.16024,2024-08-30,America,Chicago
Iwade,135.31667,maintenance,34.25,2020-12-31,Asia,Tokyo
Cowes,-1.29772,excellent,50.76306,2016-11-02,Europe,London
Sankt Peter,15.46667,good,47.05,2020-04-10,Europe,Vienna
Tandil,-59.13316,good,-37.32167,2018-07-02,America/Argentina,Buenos_Aires
Hlukhiv,33.9162,maintenance,51.67822,2025-02-13,Europe,Kyiv
Namerikawa,137.36215,acceptable,36.75965,2022-07-03,Asia,Tokyo
Calauan,121.3152,excellent,14.14989,2018-05-03,Asia,Manila
Chiavari,9.32241,excellent,44.31771,2023-06-16,Europe,Rome
Utica,-75.23266,excellent,43.1009,2017-01-09,America,New_York
Praha,14.41854,excellent,50.073658,2018-01-05,Europe,Prague
Dongdu,117.7,good,35.85,2018-05-09,Asia,Shanghai
Losheim,6.74549,good,49.5099,2018-09-01,Europe,Berlin
Saraktash,56.36091,acceptable,51.78771,2019-08-31,Asia,Yekaterinburg
Smolyan,24.71204,good,41.57439,2016-01-05,Europe,Sofia
Gariadhar,71.57737,good,21.53889,2023-02-03,Asia,Kolkata
Diamond Harbour,88.18466,acceptable,22.19303,2018-01-02,Asia,Kolkata
Sterling,-77.4286,good,39.00622,2016-01-30,America,New_York
Teghra,85.94001,excellent,25.49043,2024-04-07,Asia,Kolkata
Malaut,74.4818,good,30.21121,2024-12-11,Asia,Kolkata
Catania,15.07041,good,37.49223,2021-07-21,Europe,Rome
Terezín,14.150558,acceptable,50.511002,2021-06-21,Europe,Prague
Acaponeta,-105.36369,good,22.49396,2021-07-22,America,Mazatlan
Gingee,79.41727,good,12.25282,2021-10-26,Asia,Kolkata
Rosedale,-76.51552,good,39.32011,2017-04-05,America,New_York
Losser,7.00417,excellent,52.26083,2025-07-28,Europe,Amsterdam
Sar-e Pul,65.93249,good,36.21544,2020-01-15,Asia,Kabul
Beni Douala,4.08282,good,36.61954,2020-05-01,Africa,Algiers
Saraktash,56.36091,excellent,51.78771,2023-07-21,Asia,Yekaterinburg
Beryozovsky,60.8019,excellent,56.9083,2020-12-28,Asia,Yekaterinburg
Corralillo,-80.58556,acceptable,22.98212,2021-05-26,America,Havana
Nakhon Pathom,100.04427,excellent,13.8196,2018-06-12,Asia,Bangkok
Changzhi,111.73861,good,35.20889,2016-09-04,Asia,Shanghai
Patti,74.85849,excellent,31.28092,2024-10-19,Asia,Kolkata
Sainte-Catherine,-73.58248,excellent,45.40008,2025-04-12,America,Toronto
Al Jubayl,49.62251,maintenance,27.0174,2021-11-29,Asia,Riyadh
Kundla,71.30633,excellent,21.34222,2018-04-17,Asia,Kolkata
Tornio,24.14662,acceptable,65.84811,2019-11-10,Europe,Helsinki
Sheoganj,73.06784,acceptable,25.13915,2023-03-31,Asia,Kolkata
Norfolk County,-80.38297,acceptable,42.8334,2021-01-06,America,Toronto
Malaut,74.4818,good,30.21121,2019-07-25,Asia,Kolkata
Thomazeau,-72.09391,good,18.65297,2016-06-02,America,Port-au-Prince
Chosica,-76.70944,acceptable,-11.94306,2017-11-14,America,Lima
Saint-Omer,2.25,excellent,50.75,2023-07-30,Europe,Paris
Veracruz,-79.62603,good,8.88988,2021-03-26,America,Panama
Mikhaylovka,43.2379,good,50.06,2021-08-27,Europe,Volgograd
Pekin,-89.64066,good,40.56754,2023-01-20,America,Chicago
Danilov,40.17171,acceptable,58.1908,2022-08-19,Europe,Moscow
Perth,115.8614,good,-31.95224,2023-06-25,Australia,Perth
Salima,34.4587,excellent,-13.7804,2020-10-29,Africa,Blantyre
Media Luna,-77.43532,maintenance,20.14298,2016-09-03,America,Havana
Yasothon,104.1451,good,15.79408,2022-10-14,Asia,Bangkok
Paredes,-8.33147,excellent,41.20485,2022-07-20,Europe,Lisbon
Temse,4.21372,acceptable,51.12794,2021-03-27,Europe,Brussels
Baulkham Hills,150.99292,maintenance,-33.75881,2018-04-12,Australia,Sydney
Visitacion Valley,-122.40433,excellent,37.71715,2020-05-22,America,Los_Angeles
Alipur,70.91106,good,29.38242,2023-01-21,Asia,Karachi
Tupelo,-88.70464,acceptable,34.25807,2018-04-10,America,Chicago
Scottsdale,-111.89903,excellent,33.50921,2022-12-11,America,Phoenix
Lodwar,35.59642,good,3.11988,2022-03-26,Africa,Nairobi
Carlsbad,-104.22884,good,32.42067,2024-05-22,America,Denver
Pune,73.85535,good,18.51957,2023-10-22,Asia,Kolkata
Lanciano,14.39024,good,42.22718,2016-08-24,Europe,Rome
Jizzax,67.84222,excellent,40.11583,2016-09-04,Asia,Samarkand
Ajaccio,8.73812,good,41.91886,2021-03-05,Europe,Paris
Catania,15.07041,good,37.49223,2024-02-10,Europe,Rome
Oberhausen,6.8625,good,51.47805,2016-12-13,Europe,Berlin
La Garenne-Colombes,2.2469,excellent,48.90472,2020-10-03,Europe,Paris
Beaumont,-116.97725,good,33.92946,2024-07-02,America,Los_Angeles
Hofheim am Taunus,8.4493,excellent,50.09019,2016-11-27,Europe,Berlin
Rolla,-91.77127,good,37.95143,2017-04-09,America,Chicago
Villabate,13.44275,excellent,38.07789,2019-07-14,Europe,Rome
Petrozavodsk,34.34691,good,61.78491,2023-11-26,Europe,Moscow
Talavera de la Reina,-4.83076,excellent,39.96348,2018-01-26,Europe,Madrid
Tarkwa,-1.98956,good,5.30383,2019-07-09,Africa,Accra
Villa del Rosario,-72.47417,good,7.83389,2019-02-01,America,Bogota
Aschaffenburg,9.15214,good,49.97704,2023-05-05,Europe,Berlin
Losheim,6.74549,good,49.5099,2016-06-22,Europe,Berlin
Halstenbek,9.85,excellent,53.63333,2017-09-21,Europe,Berlin
Tandil,-59.13316,excellent,-37.32167,2019-03-22,America/Argentina,Buenos_Aires
Sunnyside,-120.00865,excellent,46.32374,2015-12-11,America,Los_Angeles
Hongseong,126.665,good,36.6009,2025-04-11,Asia,Seoul
les Escaldes,1.53414,excellent,42.50729,2017-10-28,Europe,Andorra
Pontevedra,-58.70072,excellent,-34.74785,2022-10-10,America/Argentina,Buenos_Aires
Chosica,-76.70944,acceptable,-11.94306,2023-04-07,America,Lima
Chillum,-76.99081,good,38.96372,2018-04-15,America,New_York
Boo,18.28333,excellent,59.33333,2020-12-23,Europe,Stockholm
Eisen,128.63083,acceptable,36.82167,2020-01-03,Asia,Seoul
Jizzax,67.84222,excellent,40.11583,2018-06-25,Asia,Samarkand
Rolla,-91.77127,good,37.95143,2022-03-19,America,Chicago
Sishui,117.27583,excellent,35.64889,2023-08-07,Asia,Shanghai
Dongdu,117.7,good,35.85,2021-01-30,Asia,Shanghai
Timaru,171.25364,good,-44.39672,2022-03-16,Pacific,Auckland
Norwalk,-82.61573,excellent,41.24255,2017-04-16,America,New_York
Artsyz,29.41824,acceptable,45.99194,2025-06-11,Europe,Kyiv
Olupona,4.18333,good,7.6,2023-01-24,Africa,Lagos
Tchaourou,2.59753,excellent,8.88649,2015-12-09,Africa,Porto-Novo
New Yekepa,-8.53778,excellent,7.57944,2022-02-22,Africa,Monrovia
Muskogee,-95.36969,maintenance,35.74788,2016-03-26,America,Chicago
Vienne,4.86667,good,45.51667,2018-07-12,Europe,Paris
Masbate,123.62494,acceptable,12.37169,2015-10-30,Asia,Manila
Pune,73.85535,maintenance,18.51957,2021-06-16,Asia,Kolkata
Barras,-42.29444,good,-4.24444,2020-08-31,America,Fortaleza
San Juan,-98.15529,excellent,26.18924,2016-07-02,America,Chicago
Daud Khel,71.57118,excellent,32.87533,2020-02-24,Asia,Karachi
Sherwood Park,-113.3187,good,53.51684,2023-03-19,America,Edmonton
Westbury,-2.1875,good,51.26,2024-04-25,Europe,London
Chillum,-76.99081,acceptable,38.96372,2020-08-04,America,New_York
Carlsbad,-104.22884,good,32.42067,2019-12-09,America,Denver
Tupelo,-88.70464,good,34.25807,2020-08-15,America,Chicago
Narva,28.19028,good,59.37722,2024-08-14,Europe,Tallinn
Troutdale,-122.38731,excellent,45.53929,2019-11-19,America,Los_Angeles
Temara,-6.90656,good,33.92866,2022-05-12,Africa,Casablanca
Port of Spain,-61.51889,acceptable,10.66668,2020-10-25,America,Port_of_Spain
les Escaldes,1.53414,excellent,42.50729,2017-10-19,Europe,Andorra
Bensheim,8.61839,excellent,49.68369,2020-05-25,Europe,Berlin
Esmeraldas,-44.31389,good,-19.7625,2022-03-13,America,Sao_Paulo
Sonzacate,-89.71472,good,13.73417,2021-09-23,America,El_Salvador
Novopavlovsk,43.63417,acceptable,43.96222,2025-07-31,Europe,Moscow
Jaruco,-82.00919,good,23.04419,2022-01-24,America,Havana
Lons-le-Saunier,5.55575,maintenance,46.67535,2022-05-28,Europe,Paris
Tandil,-59.13316,excellent,-37.32167,2016-02-28,America/Argentina,Buenos_Aires
Norwalk,-82.61573,good,41.24255,2024-05-03,America,New_York
Aytos,27.25,good,42.7,2017-11-18,Europe,Sofia
Inawashiro,140.11667,good,37.56667,2024-07-28,Asia,Tokyo
Yingkou,122.22833,good,40.66482,2023-05-18,Asia,Shanghai
Lompoc,-120.45794,good,34.63915,2021-11-09,America,Los_Angeles
Gavrilov-Yam,39.85331,acceptable,57.30185,2018-11-14,Europe,Moscow
Hudiksvall,17.10558,good,61.72744,2022-12-25,Europe,Stockholm
Kashipur,78.95693,good,29.21399,2018-10-22,Asia,Kolkata
Kelowna,-119.48568,good,49.88307,2017-05-03,America,Vancouver
el Camp de l'Arpa del Clot,2.18247,excellent,41.41204,2022-03-10,Europe,Madrid
Catende,-35.71667,good,-8.66667,2023-02-04,America,Recife
Gaziantep,37.3825,maintenance,37.05944,2018-11-26,Europe,Istanbul
Yanliang,109.22921,good,34.65918,2021-05-16,Asia,Shanghai
Pilkhua,77.656,good,28.71271,2022-11-22,Asia,Kolkata
Acayucan,-94.91386,good,17.94979,2016-12-26,America,Mexico_City
Kampung Ayer Molek,102.3278,excellent,2.2139,2019-11-30,Asia,Kuala_Lumpur
Lons-le-Saunier,5.55575,good,46.67535,2017-10-03,Europe,Paris
Griffith,146.05093,excellent,-34.28853,2016-11-11,Australia,Sydney
Kashira,38.16694,good,54.84444,2025-06-28,Europe,Moscow
Milagro,-79.59415,acceptable,-2.13404,2017-10-22,America,Guayaquil
Progreso,-89.66123,excellent,21.28306,2017-05-25,America,Merida
Nidderau,8.86704,good,50.23805,2018-12-13,Europe,Berlin
Mokopane,29.00974,excellent,-24.19436,2019-03-18,Africa,Johannesburg
Dyat‚Äôkovo,34.33825,acceptable,53.59782,2019-04-03,Europe,Moscow
Nova Kakhovka,33.34864,good,46.75451,2016-02-17,Europe,Kyiv
Shimotoda,139.6853,good,35.815,2017-05-25,Asia,Tokyo
Wesseling,6.9747,good,50.82709,2024-09-25,Europe,Berlin
Gaya,9.0027,good,11.86064,2017-09-25,Africa,Lagos
Split,16.43915,good,43.50891,2022-12-02,Europe,Zagreb
Sicklerville,-74.96933,maintenance,39.71734,2019-12-26,America,New_York
Thetford,0.75,good,52.41667,2022-09-01,Europe,London
Ueno-ebisumachi,136.13108,good,34.75856,2016-09-25,Asia,Tokyo
Somma Vesuviana,14.43865,good,40.87329,2022-03-06,Europe,Rome
Claremont,-117.71978,good,34.09668,2019-09-23,America,Los_Angeles
Dehiwala-Mount Lavinia,79.87116,maintenance,6.84019,2016-08-03,Asia,Colombo
Encinitas,-117.29198,good,33.03699,2018-09-14,America,Los_Angeles
Hongseong,126.665,good,36.6009,2016-12-14,Asia,Seoul
Olupona,4.18333,excellent,7.6,2020-11-04,Africa,Lagos
Hoogezand,6.76111,good,53.16167,2016-10-06,Europe,Amsterdam
Lutz,-82.46148,maintenance,28.15112,2022-12-28,America,New_York
Leyland,-2.68758,maintenance,53.69786,2016-10-08,Europe,London
Ada,-96.67834,acceptable,34.77453,2022-07-28,America,Chicago
Trossingen,8.64409,good,48.07667,2018-11-04,Europe,Berlin
Schererville,-87.45476,good,41.47892,2022-08-16,America,Chicago
Espoo,24.6522,acceptable,60.2052,2016-08-07,Europe,Helsinki
Stockbridge,-84.23381,acceptable,33.54428,2024-07-15,America,New_York
el Camp de l'Arpa del Clot,2.18247,excellent,41.41204,2022-10-11,Europe,Madrid
Imbituba,-48.67028,good,-28.24,2017-09-26,America,Sao_Paulo
Barmbek-Nord,10.03988,good,53.6052,2023-06-15,Europe,Berlin
Manikchari,91.84128,excellent,22.83957,2019-12-01,Asia,Dhaka
Coralville,-91.58045,excellent,41.6764,2019-09-03,America,Chicago
Selby,-1.06667,good,53.78333,2021-01-07,Europe,London
Chillum,-76.99081,good,38.96372,2016-10-18,America,New_York
Teluk Intan,101.02083,good,4.02219,2024-12-13,Asia,Kuala_Lumpur
Lutsk,25.34244,good,50.75932,2022-08-27,Europe,Kyiv
Eppingen,8.91229,good,49.13645,2023-05-16,Europe,Berlin
Itacoatiara,-58.44417,good,-3.14306,2019-04-16,America,Manaus
Charlottenburg-Nord,13.29371,good,52.53048,2018-09-09,Europe,Berlin
Acaponeta,-105.36369,good,22.49396,2018-08-11,America,Mazatlan
Madhipura,86.79271,maintenance,25.92127,2021-04-13,Asia,Kolkata
Gainsborough,-0.76667,excellent,53.38333,2022-09-08,Europe,London
Bron,4.91667,acceptable,45.73333,2020-02-07,Europe,Paris
Pato Branco,-52.67056,good,-26.22861,2017-07-03,America,Sao_Paulo
Reus,1.10687,good,41.15612,2016-07-06,Europe,Madrid
Copperas Cove,-97.90308,good,31.12406,2022-09-27,America,Chicago
Xiangtan,112.9,acceptable,27.85,2023-04-29,Asia,Shanghai
Namerikawa,137.36215,excellent,36.75965,2018-07-12,Asia,Tokyo
San Juan,-98.15529,good,26.18924,2018-08-30,America,Chicago
Buri,-48.59278,excellent,-23.7975,2016-02-14,America,Sao_Paulo
Barbil,85.37752,good,22.10194,2024-08-24,Asia,Kolkata
Tudela,-1.60452,good,42.06166,2018-02-02,Europe,Madrid
Izluchinsk,76.92421,good,60.97944,2018-05-28,Asia,Yekaterinburg
Baliuag,120.89694,acceptable,14.95472,2025-05-17,Asia,Manila
Grenville,-61.62498,good,12.12278,2022-03-28,America,Grenada
Yauco,-66.8499,excellent,18.03496,2023-04-13,America,Puerto_Rico
Talipparamba,75.35927,good,12.04161,2018-12-12,Asia,Kolkata
Zeitz,12.1369,acceptable,51.04962,2017-02-08,Europe,Berlin
Les Olives,5.4584,good,43.32393,2023-02-20,Europe,Paris
Jumilla,-1.325,excellent,38.47917,2023-10-28,Europe,Madrid
Southsea,-1.08593,acceptable,50.79205,2017-05-28,Europe,London
Carlos Barbosa,-51.50361,good,-29.2975,2024-12-31,America,Sao_Paulo
Caravaca,-1.86343,good,38.10558,2017-01-13,Europe,Madrid
Sambalpur,83.97573,good,21.46527,2019-02-01,Asia,Kolkata
Juhaynah,31.4976,acceptable,26.67319,2024-06-17,Africa,Cairo
Ghat,10.18003,good,24.96334,2017-06-29,Africa,Tripoli
Blackpool,-3.05,excellent,53.81667,2017-12-05,Europe,London
South Whittier,-118.03917,excellent,33.95015,2020-11-14,America,Los_Angeles
Kirchlengern,8.63333,acceptable,52.2,2021-10-21,Europe,Berlin
Ajdabiya,20.22625,good,30.75545,2019-07-28,Africa,Tripoli
Fontenay-aux-Roses,2.29275,good,48.79325,2022-05-01,Europe,Paris
Recife,-34.88111,excellent,-8.05389,2016-06-03,America,Recife
Lille,4.82313,excellent,51.24197,2024-07-24,Europe,Brussels
Heroica Matamoros,-97.50417,acceptable,25.87972,2020-03-04,America,Matamoros
Kashira,38.16694,good,54.84444,2016-08-15,Europe,Moscow
Nidderau,8.86704,good,50.23805,2022-07-15,Europe,Berlin
Zgorzelec,15.00835,good,51.14942,2024-04-22,Europe,Warsaw
Utica,-75.23266,excellent,43.1009,2015-10-01,America,New_York
Gainsborough,-0.76667,good,53.38333,2022-12-24,Europe,London
Castelfranco Emilia,11.04979,maintenance,44.59445,2020-05-19,Europe,Rome
Visitacion Valley,-122.40433,good,37.71715,2024-10-21,America,Los_Angeles
Kanganpur,74.12286,maintenance,30.76468,2023-09-22,Asia,Karachi
Soledade,-52.51028,acceptable,-28.81833,2016-09-29,America,Sao_Paulo
Santa Maria,-120.43572,good,34.95303,2022-11-29,America,Los_Angeles
Robertsonpet,78.27539,excellent,12.95629,2020-11-15,Asia,Kolkata
Friedberg,10.98461,good,48.35693,2020-04-19,Europe,Berlin
Iturama,-50.19556,good,-19.72806,2016-01-30,America,Sao_Paulo
Abilene,-99.73314,excellent,32.44874,2019-06-29,America,Chicago
Tebingtinggi,99.1625,excellent,3.3285,2021-06-30,Asia,Jakarta
Ksar Chellala,2.31889,excellent,35.21222,2025-09-13,Africa,Algiers
Lompoc,-120.45794,good,34.63915,2023-09-05,America,Los_Angeles
Ferrol,-8.2194,good,43.48961,2016-04-03,Europe,Madrid
Arba Minch,37.55,maintenance,6.03333,2020-03-06,Africa,Addis_Ababa
Gainsborough,-0.76667,good,53.38333,2018-08-12,Europe,London
Odessa,-102.36764,good,31.84568,2020-12-09,America,Chicago
Idenao,9.00472,good,4.2475,2021-04-10,Africa,Douala
